Correct Words,Incorrect Words
decision,descission
city_hall,city-hall
sightseeing_tour,sightseeing-tour
living-rooms,living_rooms
for,since
effectively,effective
chocolate,choclolate
provide,provid
jokes,mocks
machine_guns,machinguns
business,buisiness
romantic,romantical
battlefield,battle_field
I,I'll
programme,programm
host_family,guest-family
sightseeing_tour,sightseeing-tour
is,ist
getting,to_get
lose,loose
which,wich
condemned,condamned
sometimes,sometime
humane,human
law,low
crime_rates,crime-rates
an,a
his,him
met,meet
excuse,excus
sojourn,sojurn
circles,cirles
spend,spent
attentively,attentfully
swimming-pool,swimming_pool
buses,busses
older,elder
may,might
was,were
behaviour,behavior
steals,steels
get,gets
crime,crimes
appearance_today,todays_appearance
too,to
wanted,want
interested,interrested
paid,payed
push,pash
westerns,western
easily_influenced,easy_influendly
had,has
reaches,reachs
schoolfriend,school-friend
Martins,Martin's
invited,invitated
divided,diverted
victorious,victorous
agreeable,agreable
pleased,pleasant
teachers,teacher
sports,sport
barbecue,barbeque
where,wher
swim,swimm
swimming-pool,swimming_pool
travel_agency,travel-agency
persons,person
woman,women
quarrelling,quarreling
of,off
criminal,criminals
defence,defense
too,to
more_strictly,stricter
be,been
sure,shure
is,are
swimming_hall,swim-hall
additionally,additional
sports,sport
volley-ball,vollyball
frisbee,fresbel
communication,comunication
peaceful,pieceful
all_right,allright
good-bye,goodby
advertisement,advertisment
repair,repaired
would_be,was
information,informations
who,which
was,were
factories,factorys
born,borned
monopoly,monopol
title,titel
bye-bye,bye_bye
like,alike
unforgettable,unforgetable
programme,programm
do,did
has,had
needed,need
meet,met
people,persons
salt,salted
in_arranging,to_arrange
of_comparing,to_compare
that,this
there,their
inconvenience,inconvience
this,that
instruction_book,instruction-book
want,wanted
instructions,instruction
help,helped
sells,sales
explained,explains
bought,brought
meant,means
it_was,it's
production,producing
am_sending,send
with,whit
flight,fly
could,can
sunshine_state,sunshine-state
check-in,check-in
went,has_going_on
immediately,imidiatly
myself,me
was,is
needed,needs
gave,gaves
whole,hold
life,live
include,included
crime,crimes
would,will
everyday,every_day
sentencing,sentence
sightseeing_tour,sightseeing-tour
were,are
will_make,are_making
there,it
perhaps,perhaphs
explaine,explaine
that,this
cannot,can_not
amuse,amused
ourselves,ourshelves
family,familly
problems,ploblems
happy,happily
atmosphere,atmospeare
truth,true
dubious,dubiously
best,better
harmful,harmfull
their_child,their's_child
useful,usuful
persons,persones
hello,hallow
?plans,plaimets
invite,inviting
plans,plannses
where,were
decided,decide
island,illand
have_been,has_go
other_things,others_think
yourself,your_self
of_going,to_go
none,noneone
plans,plannets
which,wich
break,broke
little,litle
grew,grown
learned,learn
things,thinks
problem,ploblem
unhappy,unhapy
are,is
helped,help
writing,writting
holiday,holidays
of_going,to_go
has,had
accordion,accordeon
send,sent
finger-prints,fingerprints
pleasant,pleasure
impatient,pantient
churches,churchs
to_discuss,discuss
family,familly
environment,enviroment
learns,learn
persons,person
its,her
other,others
choose,choise
planned,planed
to_come,come
continuing,continouing
kilometres,kilometers
Greeks,Greek
thief,theft
sports_shoes,shoes_of_sports
jeans,jean
he,it
notice,noticed
brand,brandt
thieves,thefts
was,were
advice,advises
problems,problem
advice,advise
relatives',relatives
postponing,postpoining
interested,intrested
well,good
surroundings,surrounding
other,orther
choice,choise
principles,principals
fantastic,fantastique
beach,beache
sergeant,seargen
upside-down,up-side-down
colour,coulored
jewellery,jewelery
colour,coulor
broken_in,broke_in
good-bye,good-bay
centre,central
this,these
sergeant,seargeant
information,informations
one,on
furniture,furiture
jewellery,jewelerys
cost,costed
were,was
learn,learned
necessary,neccesery
shall,should
travel,traveled
different,diferent
although,althout
refreshing,refressing
it,them
accept,except
invitation,envitation
ourselves,ourshelves
feel,fell
advice,advices
career,carrier
of_course,afcourse
come,comes
second,secondly
that,those
civilization,cibilazation
the_enemies_of_society,the_society_enemies
persons,person
cannot,canot
correct,corrert
safe,safety
Italian,Italians
museums,musiems
Venice,Venetia
Venice's,Venetia's
Milan,Milano
Naples,Napoli
I'll,I'l
madam,madame
good_morning,goodmorning
went,go
colour,color
disks,disques
cost,costed
neighbours,neighor
saw,see
police_officer,police-officer
police_stations,police-stations
decision,disition
love,loves
do_the_housework,housework
were,was
had_happened,was_happen
dresses,dressing
jewellery,juelerious
things,thing
prints,pints
show,shown
planning,planing
Milan,Milano
Rome,Roma
interesting_towns,interests_towns
museums,meuseums
sincerely,sirenly
await,wait
programme,program
weeks',weeks
summer,summer's
unforgettable,unforgetable
front,frond
department,departement
radio-controlled,radio_controlled
aeroplane,airplane
doesn't,don't
effort,efford
information,informations
of,off
visit,visite
does,do
problem,promblem
Scottish,Scotland
English,Engish
important,importand
my,me
don't,do'nt
habits,habbits
are,is
planning,planing
remaining,rest
good_evening,goodevening
kitchen_window,kitchen's_window
has_been,were
ear-rings,earings
ate,eat
upside-down,up_side_down
good-bye,good_bye
proposition,preposition
marvellous,marvelous
aeroplane,airplane
reliable,releyable
equipment,equiptment
necessary,nesaccary
waiting,wating
receive,receiving
barbed,barbred
stolen,stollen
urgent,ergent
would,will
heard,heart
their,theirs
development,developpement
growing_up,growning_up
advise,advice
explain,explane
lives,lifes
more,most
taught,teached
tried,tryed
difficult,dificult
find,found
friends,friend
good_morning,goodmorning
back,buck
came,come
understood,understand
thieves,thiefs
had,have
hundred,hundert
drachmas,drahmas
colour,color
interested_in,intresting_about
are_missing,miss
they,theye
Scottish,Scotland
enemies,ennemies
quite,quiete
were,bore
since,_born
advice,advices
ones,one
California,Kalifornia
affirmatively,affirmativelly
according,accordind
purposes,purpose
holiday,holidays
foreign,foreing
progresses,progress
the_progress_of_technology,the_tecknology's_progress
wishes,wisses
incorrect,uncorrectly
rob,steal
disappeared,dissapeard
happen,happens
forget,forgot
breakfast,breackfast
spending,spenting
accept,accepte
friends,frinds
glass_toy,toy_from_glass
brother,brothe
has,have
success,succes
visit,visite
sights,sight-seeings
travel,travell
love_of_the_family,family's_love
of_belonging,to_belong
buglaries,buglarys
found,find
had_happened,was_happen
gone,gon
steal,stole
jewels,jewells
then,the
latest,last
bought,bough
isn't,in't
finger-prints,fingurechiefs
preference,preferable
parents,paren'ts
cannot,can_not
are,be
encourage,encourange
?physical,phycical
some_time,some_times
parents,paren't
extraordinary,extraodinary
useful,usefull
great,grate
lonely,lonly
create,creat
characters_of_people,people's_character
seeing,seing
are,is
peaking,speak
been,go
fish,fishes
dressings,dreasings
museums,museams
think,thing
we'd,we'll
a,an
restaurants,restaurant
pubs,pub
mother_of_god,god's_mother
you'd,you'll
afternoons,afternoon
neighbours,neighbour
heard,hear
they,there
arrived,arrive
phoned,phone
came,come
Scottish,Scotland's
different,difference
I'm,I'am
your,you
good-bye,good_bye
person,people
problems,promblems
secrets,secret
pen-friends,pen_friends
Philippines,Phillipines
are,were
writing,writting
beginning,beggining
decided,decited
planned,planed
across,accross
figure,figuer
surround,surroud
according,accordingly
ran,run
attempt,try
writing,writting
written,write
generally,general
near_to,nearby
believe,beleeved
bothered,bothed
you're,you
correct,corrext
listen,liste
children,childrens
those,these
was,were
we'd,we'll
plans,plants
things,thing
historian,historical
receiving,receive
early,eerly
right,righ
making_a_search,doing_a_search
theft,thieft
good-bye,good-buy
contact,contuct
teenager,teen-ager
doesn't,doesn's
love,loves
caught,catched
establishment,establishement
writing,writting
beautiful,beautifull
travel,travell
plane,plain
arrive,arrives
Athens,Athenes
this,these
society,sociaty
advice,advices
experience,excpieriance
experience,excperiance
give,gives
provide,provides
value,valiou
Lyon,Lion
has,have
lives,live
friend's,friend
worry,worried
useful,usefull
needs,need
useful,usefull
a_lot,alot
problems,problemes
life,live
can't,cant
other_members,others_member
younger,youngers
that,thay
thank,thanks
decided,decited
writing,writting
think,thing
organised,organased
successful,sucsesfull
took,take
Christmas,Cristmas
aunt's,ant's
Big_Ben,Big-Ben
theft,thieft
moustache,moustach
trousers,trousher
cost,costs
rectangular,rectacular
begin,began
telephone,tel
fond,font
going_on,going
spend,spent
mine,me
mother's,mothers
glad,gland
has_happened,happens
returned,return
key,kye
thought,think
was_playing,play
have_broken,brokje
got,get
began,begun
happened,happend
?ear-rings,eye-rings
thousand,thousands
find,fing
good_morning,goodmorning
madam,madame
stole,stoled
thought,though
were_not,werenot
burglar,burgler
was,were
good-bye,goodbye
choose,choise
family's,families
America,American
a_lot_of_money,many_moneys
sincerely,sincerelly
gave,give
understood,understand
advice,advices
writing,writting
Christmas,Cristmas
accept,except
sightseeing,sighteseing
chose,choosed
whom,who
meet,meen
answer,answed
you,yo
stole,stale
were,had_been
gold,golden
drachmas,dracmas
was,were
bracelet,braselet
others,other
there,the
didn't,didn's
good-bye,good_bye
writing,writting
especially,espessialy
galleries,galeries
perfumes,perfums
greatest,greater
to_be,for_being
another,an_other
beautiful,beatiful
growing_up,growning_up
believe,beleive
important,importand
somebody's,somebodys
jogging,jocking
discotheques,disqoteques
upside-down,up_sat_down
tomorrow,tomorow
hundred,hundrent
relationship,relation
planned,planed
sleeping-bags,sleeping_bags
parents,parent's
in_front,infront
happened,happen
beginning,begining
slowly,slow
thing,think
carefully,carefuly
clock_on_the_wall,wall-clock
stolen,stollen
me,my
invite,inviting
in_three_weeks'_time,three_weeks_after
planning,planing
sports_car,sport_car
galleries,garellies
museums,musiums
theatres,theater
knows,know
my,me
policeman,polisemsn
exactly,ecxactly
this,the
expensive,expencive
necklaces,necklasses
finger-prints,fingerprints
promise,promase
first,at_first
water-cycling,watercycling
playing,to_play
programme,program
spend,spending
work,working
familiar,familar
drank,drunk
my,mine
wheelchair,wheel_chair
than,then
another,an_other
cannot,can_not
willing,willingly
wanted,want
OK,oke
which,who
aeroplane,airplane
seat_number,seatnumber
will,would
which,what
suit,suits
fell,felt
worse,worser
likes,like
then,than
would,will
criminals,crimenals
too_much,tomuch
freedom,free
punish,punished
build,built
criminals,crimes
allow,allowed
prisoners,prisonners
hear,heard
learn,learnd
I_went,I've_been
camera,photocamera
to_pick,picking
where,were
it,is
ashore,a_shore
take_off,take_of
do,are_doing
junkies,junks
steal,steel
radios,radio's
cameras,photocamera's
heroin,heroine
stadiums,stadions
of,from
to,in
on,at
who,how
sailors,sailers
was_built,is_build
began,becune
thousand,thousend
living,live
swimming_pools,swimmingpools
enormous,inormous
sports_complex,sportcomplex
bridges,bridge's
which,how
yourselves,yourself
listening,lissening
good-bye,goodbay
friend,frient
mine,my
was_studying,study
travelling,traveling
drank,drunk
cups,cupes
tea,thee
about,aboud
began,becun
speak,speek
laugh,lauth
and,an
doesn't,doesnt
shut,shutt
none,non
an,a
continued,continout
of_listening,to_listen
attachment,attachement
defective,defected
fix,fixe
weekend,week-end
birthday,birth-day
guarantee,garanttee
forward,forwardly
your,you
plane,plain
passengers,passangers
cigar,sigar
smoked,smoke
stewards,stuwards
passengers,passanger
steward,stuward
that,what
convince,confince
doesn't,don't
patient,patience
family,famili
which,whitch
am,will_be
fishing_boats,fishingboats
precisely,precise
I_am,I'am
was,is
through,though
took,have_taken
any,anything
neighbour,nabour
electric_socket,electricity-holder
am_sending,send
good-bye,goodbuy
fault,mistake
sincerely,sincerly
laugh,be_laughing
bought,buy
ran,run
little,litte
lay,laid
floor,four
cells,cels
built,belt
sea-level,sea_level
were,are
has,have
there,their
short,sort
be_built,build
who,how
are,is
too,to
bank_robbery,bankrobbery
dealing_in,dealing
helped,helping
to_kill,killing
themselves,there_selve
Tangiers,Tanger
notice,noticed
him,hime
alone,allone
life,live
death_sentence,dead_setice
committed,commited
it,there
known,know
cases,case
drug_scene,drug-scene
come,are_coming
though,dough
hasn't,haven't
circumstances,cercumstances
especially,aspecialy
devised,devided
programme,program
there,the
its,it's
truly,truely
you're,your
it,he
has,had
guarantee_card,guarantee-card
wonderful,wonderfull
fortnight's,fortnight
room_number,room-number
small,little
made,have_making
visited,were_visiting
noise,noice
then,than
guests,casts
tried,tryed
and,an
cost,costs
am_sending,send
sincerely,sencerely
really,realy
honour,honor
to_visit,that_visits
normally,normal
duty-free,tax_free
cowboy_hat,cowboy-head
apologies,apologises
hey,he
can't,cann't
shocked,chocked
welcome,wellcome
honoured,honored
visiting,visited
successful,succesful
extension,exention
yourselves,yourself
an,a
peaceful,peacefull
nowadays,now-a-days
dependent_on,depended_of
in,on
programmes,programs
are,is
psychological,phsychological
be_punished,punish
strictly,strict
community,communitee
who,which
burglary,burgalary
punishments,punishment
social_work,social_labour
women,woman
yourselves,yourself
swimming-pool,swimming-poole
arranged,arange
greatest,greatests
oldest,oldests
result,results
will_take,takes
cost,costs
bus_driver,busdriver
alone,allone
finally,finely
lunchtime,lunch_time
apparatus,apparatuce
chosen,choosen
yourselves,yourself
of_using,to_use
Tussaud's,Tusseau
talking,talk
drawing-room,drawing_room
Tussaud's,Tusseau's
chosen,choosen
mini-golf,minigolf
holiday,hollyday
delayed,delated
one_hour,onehour
reserved,reserveted
begin,began
a,an
where,were
hours,ours
must,musst
embassy,ambasade
passport,pas
hours,our
further,feather
I_don't_agree,I'm_not_agree
occasions,ocasions
might,may
authorities,autorety's
consequences,consequenties
criminals,crimenals
and,an
training,train
money,mony
with,whit
stricter,strickter
possibilities,possibilitys
without,whitout
it's,its
Morocco,Maroc
rob,robe
department,departmental
apologise,appologize
radio-cassette,radio_cassette
studies,study
yours,your
to_be_allowed,for_allowing
pleased,pleasure
this,these
shooting_gallery,shoutting-galery
derby,darby
raffle,raffling
?music-hall,musichal
prizes,prices
it,he
radio-cassette,radio_cassette
which,who
completely,complete
advertisement,advertising
work,worked
fades,fade
repair,repear
their,there
through,trough
Europe,Europa
heart,hart
days,day's
prefer,prefere
with,whit
children,childeren
their,thier
pleasant,pleasent
something,somethings
with,which
they,the
who,the
come,came
accepted,accept
neighbour,neignbour
someone,somewone
he,the
help,hulp
for,voor
leisure,leiserly
pursuits,pursuit
follow,following
information,informatic
bought,bougt
the,te
it,he
radio-cassette,radio_cassette
myself,my_self
yours,your
town_hall,townhall
boat_trip,boattrip
bus_trip,bustrip
it,is
check-in,incheck
smoking,smoke
admired,admire
seat_belt,seatbelt
any_more,anymore
crimes,crime-activities
outcome,outcomes
shows,show
activity,activiteit
two,to
Greek,Grec
to_have,of_having
Wars,War
department,deparmant
shop,schop
relationship,relation
times,time
exchange_programme,exchange-programm
success,succes
grammar_school,grammar-school
programme,program
your,you
consumers',cosumers
work,worked
couldn't,could'nt
tried,tryed
sounded,sounds
perfectly,perfect
to_write,writing
your,you
themselves,them_self
I,we
would,should
would,must
has,had
months,month's
steal,steel
would_know,knowns
then,than
visits,visit
programme,programe
business_trip,business-trip
dark-coloured,dark_coloured
good-looking,good_looking
stewardesses,stewardes'
last-minute,last_minute
last-minute_passenger,last_minute-passenger
colleagues,colleages
programme,program
instead,in_stead
awkward,akward
comfort,confort
chewing-gum,chewing_gum
journey,yourney
success,succes
then,than
soft,suft
am_sending,send
crime,criminalism
which,what
types,type
continuous,continous
properly,proper
occurred,occured
am_sending,sent
gets,get
like,likes
drug-dependent,drug_dependent
thieves,thefts
classical_music,classic-music
letter,lettur
worse,worser
apologies,apologises
button,botton
control,controll
guarantee,guaranty
me,my
with,wit
enclose,close
where,were
especially,special
was,is
businessman,busnessman
climate,climat
varied,varie
north,nord
picturesque,pittoresque
Assisi,Assisie
city,citty
sculptures,sculture
?celebrated,celbere
looking_at,look_at
well-known,wellknown
airline,airliner
dependent,dependant
bother,border
spilled,spoiled
hand_luggage,handlugage
separation,seperation
violence,violance
more_strictly,stricter
kinds,kind
these,those
fault,default
repaired,repared
days,day's
exchanged,changed
crime,criminality
were,would_be
severely,severe
vandals,vandalists
prosecuted,prosecueted
are,is
football_supporter,football-supporter
repair,repare
unemployment,umemployment
families,family
dissatisfied,unsatisfied
complete,completely
had_seen,saw
impolite,unpolite
swim,swin
accommodation,accomodation
travel_agency,travelagency
waste,waist
understand,understood
schedule,scedule
opening_hours,opening-hours
museums,musea
programme,programm
hotel_personnel,hotelpersonnel
man,men
admit,admitt
never_saw,have_never_seen
girlfriend,girl-friend
Naples,Napels
were,had_been
were,would_be
death_penalty,deatch-penalty
could,can
pickpocketing,pickpocking
crimes,crime
committed,comitted
cannot,can_not
accepts,accept
do_not,donot
was,has_been
guest_house,guesthouse
dinner-time,dinnertime
wished,wish
would,will
careful,carefull
have,has
campaign,campain
licence,license
maybe,may_be
loudly,loud
still,sill
opportunity,oppertunity
accommodation,accomodation
kinds,kind
has,have
growth,growing
excitement,exitement
stealing,steeling
acts,actions
of_punishing,to_punish
government,goverment
advice,advices
manufacturing,manufacturer
tape-recorder,tape_recorder
immediately,immediatly
friends,firend
stopped,stop
radio-cassette,radiocass
radio-cassette,radio_cassette
grateful,gratefull
enjoy,enjoin
schoolfriend,school-friend
refugees,refugee
line_of_work,line's_work
stories,story
appears,appers
believes,belive
hasn't_worked,didn't_work
would_have,haven't
goes,going
anything_to,nothing_for
guarantee,garantie
yours,your
made,makes
a,an
cartridges,cartshipe
laughs,laugh
view,views
different,differents
happiness,happienis
he,it
paperback,paper-covered
schooldays,school_days
cops,copes
aeroplane,airplane
though,thought
no_one,noone
broke_down,was_broken
mechanic,mecanic
immediately,imediately
throw,thorow
protested,protest
racial,ratial
Shaw's,Shaw
courage,courageous
enemy,enemies
was,is
a_horse,an_hourse
die,dye
can,could
solved,solve
are,were
schooldays,school_days
turning,turned
passed,was_passing
the_mountains,mountain
girl,gir
get,got
sat,sit
her,she
stop,stopped
taking,take
encourages,encourage
too,to
to_find,find
acts,actions
appropriate,appropriated
in_avoiding,to_avoid
to_this_skill,at_the_skilness
fright,frighten
crimes,crime
everyone's,everyone
pleasure,plessure
holiday,holyday
desperate,desperates
ship's,ship
architecture,achitecture
easy,essy
crime,criminality
of_preventing,to_prevent
government,governement
representative,a_rapresentation
oneself,yourself
itself,himself
history,story
brief,short
testimonies,testimoniances
was,has_been
carry,are_carrying
taught,tought
of_teaching,to_teach
wind,winds
stewardesses,stuardesses
were,did
stewards,stuords
place,plase
lit,light
sitting_in,sit_on
stewardess,stuordesse
closed,clossed
?don't_be_cheeky,doont_cheecking
intentionally,with_intention
your,yours
radio-cassette,radio_cassette
radio-cassette,radio_cassette
airmailed,airmaled
address,adresse
live,lived
of_meeting,to_meet
have,had
information,informations
enjoyable,enjoable
discotheque,discoteque
electric,eletric
market,maket
yesterday,yestarday
button,botton
cost,costed
condition,conditions
prove,proove
secretly,secretely
a,an
caused,coused
properly,propely
anxious,anxiouse
button,bottom
is,was
checked,cecked
fault,fall
I,I've
send,sent
spend,spent
had_to_take,would_have_taken
aeroplanes,airplanes
took,take
had_gone,went
aeroplane,airplane
unfortunately,unfurtunately
didn't_have,haven't
down,dow
began,begon
saying,sayin
ended,ends
shopping,shoping
cassette,casset
understand,undersand
instructions,instruction
because,becouse
electronic,electronics
can,could
recorder,record
Mediterranean,Mediterranee
kinds,kind
who,which
unpleasant,umpleasant
letting,let
looking_for,looking_to
chose,choose
teacher,theacher
thing,things
meant,mean
studying,study
carefully,careffully
spending,spent
tables,table
other,others
sat,sit
seats,seat
formally,formaly
reply,replaied
shouted_at,shouted_with
they,the
liked,likes
makes,make
gave_him_reason,gave_him_ragion
world,wordl
living,lives
nowadays,nowdays
passengers,passingers
freed,free
an,a
government,governament
their,its
the_rules_of_the_game,game's_rules
they,it
help,helping
no_one,noon
countryside,countries
compartment,compartiment
arrived,arrive
shook,shake
family,families
they,there
advertisements,advertisments
?unprofitable,unfitable
amusements,amusments
they,the
travelling,travels
things,thing
every,evvery
led,lead
friend,freind
record,recorder
cost,costs
not,no
amount,amout
people,persons
death,dead
probably,propobly
crime,crimes
hotel-owner,hotel's_owner
information,informations
ever,never
met,meet
imagine,immagine
murders,murdered
policemen,policemans
most_strict,strictiest
murderers,murders
suffer,suffered
impolite,unpolite
woman,women
enough,enought
before,befour
damage,dammage
back,bak
things,thing
believe,belive
at_any_time,anytime
humanity,umanity
humanitarian,umanity
communities,comunities
condemn,comden
condemn,comdan
would_go,will_have_gone
Athens,Athene
refuse,refused
for,or
successful,succesfull
minutes,minuts
realise,realised
does_not_work,have_not_worked
hear,hearing
yours,your
were,where
sit,seat
discussed,disussed
none,no_one
journey,juorneys
those,that
nowadays,nowaday
imprisoned,emprisoned
comfortable,confortable
began,begun
using,to_use
sent,send
refund,refawd
high_frequencies,high-frequencies
other,others
earth,hearth
crime,criminality
latter,last
sell,sells
use,uses
activities,activity
?police_prosecution,persecution_of_police
in_fact,infact
their,theirs
immediately,immediatly
packet,pocket
radio-cassette,radio_cassette
recently,resentely
customers,costumers
instructions,instruction
roaring,rooring
can,could
sincerely,sincerly
these,this
sea,see
lately,letely
source,surce
tourism,tourismm
swimming-pools,swimming_pol
wonderful,wonderfull
for_having,to_have
Persian,persion
make,made
recorders,recorder
guarantee,garantee
chose,choose
radio-cassette,radio-cassett
repair,rapair
listening_to,listen_to
radio-cassette,radio_cassette
sincerely,sincerly
wonderful,wanderful
teachers,teacher
her,his
arrogant,arrogance
following,fellow
chatting,to_chat
arrived,arrive
boyfriend,boy-friend
work,working
turned,turn
worked,was_working
guarantee,garantee
assistant,assistent
didn't_sign,hasn't_signed
valuable,voluable
pleasant,pleasent
refund,refound
yours,your
wonderful,wonderfull
cruise,cruiser
hadn't,haven't
couple,cople
amusing,amousing
speechless,speehless
change,be_changed
could,can
happen,happened
cruises,cruisers
cost,costs
for_using,to_use
this,these
thing,things
want,won't
myself,meself
visit,visite
you'll,you'd
noticed,notice
which,who
are,is
mass,messa
prepared,prepaired
of_making,to_make
am_sending,sent
yours,your
interest,interesting
yourselves,yourself
coming,comming
prefer,prefere
classmates,class-mates
forward,foreward
doesn't,didn't
yours,your
uncomfortable,unconfortable
nervousness,nervousion
behaving,behaveing
moving,moveing
boring,boreing
respectful,respectfull
person,people
a,an
condition,conditions
immediately,immidiately
can,could
yours,your
you,you've
funfairs,fun-fairs
preferred,prefered
bedroom,beedroom
ear-rings,earings
haven't_forgotten,don't_have_forget
schoolchildren,schoolchildrens
bedrooms,beedrooms
comfortable,confortable
will,would
likes,like
from_doing,to_do
became,become
lawyers,lawiers
crime,the_crimes
danger,dangers
tiring,tyring
schools,school
realized,realizes
that_it_is,that's
news,niews
tells,tell
prisoners,prisonners
did_not_accept,hadn't_accepted
maintained,maintened
menace,minace
intolerable,intollerable
damages,dammage
punishments,punishment
would,will
wanted,did_want
into,on
fell_down,fall_down
has,as
wagon,wagoon
moustache,mustaches
dark_blue,dark-blue
cigar,sigar
speak,speack
aeroplane,aereoplane
excited,ecxited
discuss,discusse
then,than
of_being,to_be
myself,me
lawyer,loyer
sure,assured
probability,probabilities
of_enjoying,to_enjoy
to_come,come
horrified,horified
share,shore
educated,educate
having,hav
about,for
which,who
representative,representive
expense,expenses
for_listening,to_listen
propensity,propension
succeeded,succeded
is,will_be
been_buying,been_buyin
necessary,necessely
had_not_managed,did_not_manage
have_done,did
yours,your
sincerely,sincerly
visit,visite
sitting,sat
button,botton
forward,forwar
sincerely,sincerly
non-smoking,non-smoker
compartment,compartement
cigar,ciger
within,whithin
quarrelling,quarreling
smoking,smokers
feelings,feeling
has,had
rucksacks,rocksacks
electric,electrict
locked,loocked
inhabitants,inabitants
held,hold
coach,couch
disposal,dispol
to_more_distant_places,in_the_farer_places
thank_you,thankyou
for_having,to_have
seeing,see
barely,bearly
urge,urged
happily,happy
is,are
does,do
comfortably,confortably
can,cannot
given,give
prestige,prestiege
than,that
tend,tends
used,use
always,alway
include,includes
derive,derives
otherwise,other_wise
harmony,harmones
America,Amarica
election,electon
have,having
ask,asked
find,finds
are,is
discussions,discussing
Cambridge,Cambrigde
nuclear,neuclar
least,leat
purchase,purchage
manufacturers,manyactures
vegetation,vegation
swimming-pool,swimming_pool
media,medias
develop,develope
certainly,certianly
seems,seemed
divorce,devorce
are,is
solely,soley
chance,change
present,pesent
privilege,previlege
prestigious,prestigeously
fast-running,fast_running
reassuring,reasuring
strongly-built,strongly_built
it's,its
damage,damaged
choose,chose
sightseeing,sight-seeing
no,none
buy,by
Britain,Briton
mind,mine
your,you
assassinated,assasinated
has,had
left,leave
institution,instituting
he's,his
strictly,strickly
always,alway
relaxed,relax
left,leaves
chose,choose
made,make
true,through
carries,carries'
passengers,passengers'
equiped,equipted
tape-recorder,tape_recorder
weekends,week-ends
haven't,have'nt
is,are
receives,received
his,their
aside,a_side
outlets,out-lets
left,leave
payday,pay_day
be_used,use
cover,covers
privilege,priviledge
delight,delite
triggers,trigers
ask,asked
recipient,recipitant
European,Europian
its,its'
accommodation,accomodations
sport,sporting
had,have
is,are
make,made
went_wrong,is_gone_bad
workplace,work_place
paid,pay
don't,do'nt
unwisely,wisely
maintained,maintain
would_be,is
in_need,in-need
could,can
is,are
exist,exit
nation,nations
foodstuffs,food_kinds
use,used
want,wants
are,is
enjoy,enjoyed
athletics,athletic
meeting,meet
money,monies
being,been
grocer's,grocerers
go,goes
reach,reaches
they,the
have,has
need,needs
of,off
mismanagement,mis-management
am,is
amateur,ameuter
professional,proffesional
might,may
homeland,home_land
personnel,personels
shipping,shiping
and,an
equiped,equip
use,uses
advise,advice
one_day,oneday
this,these
advise,advice
you_have,you'd
is,are
equipment,equiptments
increasing,increase
rental,rentals
sublet,sub-let
is,are
problems,proplems
an,a
benefit,benifit
money-making,money_making
worse,worst
which,who
budgeting,budgetting
taught,thought
hassle,hastle
strenuous,strenous
advice,advices
give,gives
hassle-free,hastle_free
disobeyed,disobyed
furthermore,further_more
exciting,exiting
doesn't,don't
gets,get
supermarket,suppermarket
she's,shes'
wastes,waste
taken,taking
undoubtedly,undoubtly
plane,plaine
caught,cought
planes,plains
exports,export
are,is
a_lot,alot
them,it
United_States,United_State
honourable,honorable
possesses,process
approach,approch
ruled,rule
influenced,influence
has,have
blessed,bless
qualities,quality
involved,involve
management,manage_ment
things,thing
involves,involve
one's,one
your,you
impulse,inpulse
planned,planed
mortgage,mortage
miscellaneous,miscellanous
necessarily,necessarely
blueprint,blue_print
equipment,equipments
encourage,encourages
buy,by
really,realy
bankruptcy,bankrupcy
questions,questons
are,is
needs,need
purchase,purchases
used,use
adavntage,advantages
gives,give
investors,investers
home_country,home-country
your,you
advice,advise
sugar-cane,sugar_cane
youths,youth
have,has
government,goverment
bananas,banana
short-term,short_tern
long-term,long_tern
avocado,avacado
well-equipped,well_equiped
four-bedroomed,four_bedroom
swimming-pool,swimming_pool
traffic,traffics
streets,street
quiet,quietness
boastfully,boast_fully
ghetto,getto
true,through
spendthrift,spendriff
are,a
in_case,incase
parents,parent
advised,advise
assistance,assistant
whatever,what_ever
being,been
friends',friends
looked,look
excursions,excertions
glass-bottomed,glass_bottom
are,is
sense,scence
days',days
fixed,fix
worked,work
as,has
questions,question
ask,asked
cope,coped
feel,feels
praise,praised
were,was
management,mangement
savings,saving
in_need_of,needy_of
lunches,lunch
going,go
parents',parents
is,his
squandering,squandling
try,tried
tranquil,tranguil
handbag,hand_bag
chose,choose
pocket-book,pocket_book
lady-like,lady_like
whenever,whe-ever
everyone,every_one
Jamaicans,Jamacians
is,does
everything,every_thing
common_sense,common_senses
satellite,saterlite
items,item
movies,movie
are,is
cinema,cinima
they,it
released,release
stay,staye
having,of
have,of
first-hand,first_hand
major,mager
instance,instant
actually,acturaly
ringside,ring_side
persons,person
possess,posess
main,maine
purpose,perpose
informed,inform
foreign,foreing
currencies,currencis
needs,need
goods,good
bring,brings
manufactured,manufactures
creating,created
benefit,benefits
countries,country
locally,localy
conditions,condition
there,ther
advantage,avantages
increases,increas
least,lease
nutritiously,nutrishouly
exporting,expor
one,on
means,mean
passenger,passengers
is,are
overwhelming,overwelding
prospect,propect
domestic,dometic
fares,fare
businessman,business_man
have,has
times,time
does_not,doesnot
goods,good
reaps,reaped
commodities,commoditys
increases,increase
earnings,earning
it,its
equipped,equiped
hospitals,hospital
schools,school
